precio;superficie;habitaciones;ascensor;banos;aire_acond;balcon;terraza;renta;longevidad;educ_sup;presion_mig;hospital;metro;universidad;autobus_interurbano;autobus_local;policia_local
63000;48;2;0;1;0;0;0;6294;19.765;81.081.081;230.769.231;0.222026869700422;0.403449749736195;0.227611852440118;207.085.971.271.097;0.672098604953386;0.616449886031159
29000;40;2;0;1;0;0;0;10119;38.182;186.842.105;39.577.836;0.233471829544643;0.261972461735809;113.332.084.822.036;13.759.582.600.685;108.222.694.497.336;0.357771214590328
495000;160;5;1;2;0;0;0;19856;32.626;547.945.205;50.228.311;0.170871601913994;104.957.717.349.541;0.902462919111503;0.294739503990331;0.592815072157063;130.816.703.095.075
225000;103;3;1;2;1;1;1;15447;7.185;475.120.385;30.497.592;0.888145782425524;305.091.674.675.901;11.565.931.346.326;291.943.301.985.282;0.249712074104596;0.879473403110937
348000;59;2;1;1;1;0;0;16881;36.517;448.328.267;2.435.312;0.481001932457885;0.764050070064238;0.848121369795813;0.864399747681528;0.726018880374894;0.863079283515326
321000;111;4;0;2;0;1;1;16019;29.821;467.592.593;50.925.926;0.387037113823754;152.332.546.921.952;0.750525561571211;0.322913533314504;0.637915870865989;111.368.828.358.107
259000;75;2;0;1;1;0;0;17297;38.17;515.815.085;68.292.683;0.900611950751925;0.222566793431503;0.424422825728724;101.827.050.875.921;0.416752086143956;0.662726608208646
479000;156;2;1;2;0;0;1;18419;33.076;495.708.155;45.064.378;0.404052728151738;0.313801279727999;0.469767204230684;131.656.804.238.788;0.279498720770227;0.964063472296051
235000;70;2;0;1;1;1;0;16973;35.138;498.422.713;34.700.315;0.4810468655473;219.249.683.405.241;0.202547102392902;201.232.602.601.705;0.38158400243918;0.528780209926858
189000;83;3;1;1;0;0;1;9300;27.156;183.098.592;66.901.408;0.296704186619677;122.517.726.103.831;149.287.936.604.255;199.683.638.763.517;0.298977506202597;0.568591231604346
360000;101;3;1;1;1;1;1;14726;21.862;488.023.952;8.358.209;0.475519999709882;187.369.516.084.481;0.686596348511038;128.263.690.440.701;0.611611124008614;0.328982721620027
167500;75;2;1;2;0;1;0;9276;30;188.596.491;82.969.432;0.284192910695555;0.318611988517733;106.365.319.276.523;142.537.943.857.489;0.979328575958685;0.368930304949396
330000;137;3;0;1;1;1;0;15696;32.512;438.746.439;21.367.521;0.187791357194216;136.550.465.753.505;116.304.819.802.055;0.632659237015577;0.223052094143603;141.969.181.756.564
205000;116;4;1;2;0;0;0;10204;33.844;17.5;4.75;0.395251612279958;110.470.184.122.489;134.839.672.829.954;239.439.753.227.167;0.405825222046615;0.397549090016108
74999;95;4;0;2;0;0;1;8745;22.71;199.637.024;6.884.058;0.220749179330105;201.734.427.701.832;0.63018488474701;189.378.133.516.206;0.758630083043892;136.443.630.369.781
160000;45;2;0;1;0;0;0;16445;30.884;376.470.588;117.647.059;0.343687018335682;237.403.321.626.023;0.395948390010242;183.702.145.733.547;0.0564197982795983;0.476532506183114
300000;139;4;1;2;1;0;1;14412;25.72;410.619.469;23.049.645;0.347673891741071;33.679.490.967.302;347.339.334.728.916;132.607.092.438.124;13.805.621.893.798;0.195710618734676
265000;108;4;0;1;1;0;1;16308;22.216;43.768.546;56.463.596;0.262556704786165;205.705.343.780.706;0.206292826450603;221.074.449.215.079;0.704393697360369;0.479236095109359
129990;80;3;0;1;1;0;0;7442;25.882;83.056.478;69.767.442;0.194643857970621;0.298847374834482;0.152413298098341;218.530.753.282.175;0.967684634808387;0.64902101140572
160000;65;2;1;2;1;0;0;10256;8.975;261.560.694;15.918.958;0.382440309681366;364.174.245.901.034;374.051.013.401.059;158.062.098.362.338;157.555.386.607.764;0.396765075768336
215000;82;3;1;2;1;0;1;10621;27.757;264.069.264;58.441.558;0.357293021266858;379.983.913.299.159;163.573.426.079.941;37.025.213.110.211;0.225839822975721;0.270588949195315
299000;44;1;1;1;1;0;0;20182;36.408;576.862.124;14.263.074;0.62569975807782;0.667393711877885;0.850975035028029;0.652700733013366;0.671255267851996;0.803773468004348
500000;152;4;1;3;1;0;1;18709;33.729;51.497.006;3.003.003;0.330041711482822;0.377609745586076;0.259540848870501;173.226.149.815.239;0.410791037946672;0.330499859869518
453000;122;4;1;2;1;0;0;14582;29.88;40;4.75;0.228207144519082;0.756303444450667;100.757.723.475.333;18.611.569.298.868;0.201132580631942;0.617941397189647
290000;76;2;1;2;1;0;0;14582;29.88;40;4.75;0.228207144519082;0.756303444450667;100.757.723.475.333;18.611.569.298.868;0.201132580631942;0.617941397189647
280000;75;2;1;2;1;0;0;14582;29.88;40;4.75;0.228207144519082;0.756303444450667;100.757.723.475.333;18.611.569.298.868;0.201132580631942;0.617941397189647
550000;153;4;1;2;1;1;0;20162;33.462;53.221.957;71.599.045;0.339058052045982;126.194.672.519.392;0.492211457326663;0.515911653919983;0.919029551753257;103.475.016.110.815
314900;69;2;0;1;1;0;0;18747;35.782;456.692.913;6.824.147;0.892896433095135;0.27188382634726;0.438761629228918;0.910111576509324;0.557710636922438;0.507145895037595
334500;103;2;0;2;0;0;0;17336;34.963;47.5;19.677.996;0.34365164050713;102.071.115.230.873;125.918.541.775.659;214.882.289.685.756;0.349527304542761;0.458201498964663
178600;81;2;1;2;0;0;0;12208;19.806;297.376.093;29.154.519;0.676121651288543;409.010.112.397.408;41.616.468.266.649;134.372.960.190.069;179.981.914.147.644;0.828629668272679
183000;77;2;1;2;0;0;0;12208;19.806;297.376.093;29.154.519;0.676121651288543;409.010.112.397.408;41.616.468.266.649;134.372.960.190.069;179.981.914.147.644;0.828629668272679
289000;66;2;1;2;1;0;0;15008;35.294;406.557.377;85.245.902;0.719264327291099;128.059.419.263.841;0.10164284446562;138.695.953.812.554;0.254515953174013;126.179.724.389.715
331616;74;2;1;2;1;0;0;15696;32.512;438.746.439;21.367.521;0.316494766388052;142.113.546.635.697;122.527.971.336.724;0.837761572473976;0.381923522532533;147.505.211.501.322
400000;78;2;0;2;1;0;0;18107;28.495;527.083.333;16.666.667;0.523124417843305;0.641743654872871;0.456936573618053;148.609.816.122.978;0.386476637061564;0.604535695070461
209000;69;1;0;1;0;0;0;12916;8.66;338.006.231;26.438.569;152.949.988.365.033;400.232.027.312.978;0.618508136946414;363.864.532.226.519;102.825.775.211.379;168.124.370.714.018
220000;96;3;1;2;1;0;0;8343;13.758;183.291.771;249.066;0.376769787999857;0.3751408188691;170.792.621.040.776;0.811135030539462;0.964884489152084;0.929380717508235
275000;113;2;1;1;1;0;0;19235;39.538;531.365.314;18.450.185;0.88935153219934;0.675883038652912;0.731978586623937;0.566233226179984;0.849447268738277;0.489863483049528
499500;185;5;1;2;1;0;1;19235;39.538;531.365.314;18.450.185;0.657390110071181;0.93159964596956;0.973376829427137;0.798106384660351;0.82888748420124;0.751962726166827
180000;63;2;1;2;0;0;0;12298;22.48;32.183.908;2.303.263;0.18219141871947;218.736.872.048.176;0.888877267065419;260.620.871.342.468;0.824941817208744;0.842691982036936
195000;77;2;0;2;0;0;0;9555;7.403;221.024.259;153.432.032;11.737.682.604.146;330.985.523.426.206;362.561.505.240.265;121.341.433.625.024;0.577572232886095;22.451.562.857.496
166000;67;2;0;2;0;0;0;9555;7.403;221.024.259;153.432.032;11.737.682.604.146;330.985.523.426.206;362.561.505.240.265;121.341.433.625.024;0.577572232886095;22.451.562.857.496
180000;111;3;1;2;1;0;1;11304;20.711;256.017.505;13.129.103;0.329293830797679;377.237.124.973.482;19.590.323.184.925;122.548.036.501.359;0.278888244764011;164.594.595.599.947
160000;100;3;0;2;1;0;0;7311;28.193;77.409.163;22.082.019;0.540727069912986;39.533.365.852.734;422.879.861.090.322;125.285.720.429.496;0.244102248101276;207.762.422.806.264
320000;60;1;1;1;1;0;0;15349;24.553;411.255.411;47.619.048;0.274369590832274;122.265.238.849.286;118.492.719.647.843;0.501890434852156;0.254653573264844;135.710.528.210.418
185000;65;1;0;1;0;0;0;12916;8.66;338.006.231;26.438.569;17.290.896.980.744;437.097.195.719.244;0.925691754824002;391.319.672.506.726;144.855.393.138.109;228.794.338.342.656
300000;92;3;0;2;1;0;0;14726;21.862;488.023.952;8.358.209;0.49312533255681;167.020.965.671.024;0.487970545904137;11.229.494.903.541;0.802948692041408;0.512245476937288
310500;169;3;0;2;0;0;0;12916;8.66;338.006.231;26.438.569;163.091.798.960.536;411.299.677.786.563;0.720006588203642;374.753.373.824.628;11.241.641.937.423;172.558.790.119.106
575000;119;3;1;2;0;0;0;15727;25.532;463.840.399;69.825.436;0.86981188779279;213.981.911.058.436;0.525491617018468;128.028.567.433.089;0.361683540404223;0.194488665760669
485000;94;2;1;2;0;0;0;15727;25.532;463.840.399;69.825.436;0.86981188779279;213.981.911.058.436;0.525491617018468;128.028.567.433.089;0.361683540404223;0.194488665760669
455000;161;2;1;2;0;0;0;14159;25.398;448.837.209;76.744.186;0.866147172852654;215.603.188.884.281;0.502869583766252;130.276.435.518.723;0.340361745583522;0.176976283549757
423000;130;3;1;2;1;0;1;17336;34.963;47.5;19.677.996;0.34365164050713;102.071.115.230.873;125.918.541.775.659;214.882.289.685.756;0.349527304542761;0.458201498964663
475500;194;4;1;3;1;0;1;12916;8.66;338.006.231;26.438.569;162.870.280.033.944;406.253.412.597.973;0.720698167495062;371.774.512.630.643;103.217.864.544.993;160.984.723.379.866
289000;113;2;1;2;1;0;1;12916;8.66;338.006.231;26.438.569;162.870.280.033.944;406.253.412.597.973;0.720698167495062;371.774.512.630.643;103.217.864.544.993;160.984.723.379.866
218500;69;1;1;1;1;0;0;12916;8.66;338.006.231;26.438.569;152.949.988.365.033;400.232.027.312.978;0.618508136946414;363.864.532.226.519;102.825.775.211.379;168.124.370.714.018
200000;71;2;0;1;1;0;1;16445;30.884;376.470.588;117.647.059;0.297445194070224;252.636.114.228.565;0.216298369131043;190.641.481.336.471;0.203342866251003;0.491469836900324
357500;132;3;1;2;1;0;1;12916;8.66;338.006.231;26.438.569;162.870.280.033.944;406.253.412.597.973;0.720698167495062;371.774.512.630.643;103.217.864.544.993;160.984.723.379.866
110000;53;2;0;1;1;0;0;8437;27.19;117.977.528;58.052.434;0.378459749695517;132.070.122.288.555;157.076.748.317.138;220.805.376.414.806;0.426833990163432;0.348464786064805
180000;61;3;0;1;1;0;0;16585;27.813;446.708.464;70.532.915;0.357834943584284;264.026.624.785.237;0.0776688431205891;195.435.223.385.593;0.218470871533698;0.532657441968661
190000;89;3;1;1;1;0;1;10729;33.875;254.901.961;105.882.353;0.28684621735149;319.555.663.009.216;0.472628050502854;236.652.303.950.847;0.0857184253637636;0.675962905862439
309000;110;2;1;2;1;0;0;17102;21.475;469.273.743;2.238.806;125.978.527.359.784;262.915.722.048.789;247.418.777.187.854;248.959.089.846.662;0.244465761610124;128.300.899.376.701
215000;43;1;0;1;1;0;0;17364;28.777;535.580.524;85.820.896;0.667510181379725;112.667.501.605.927;0.265629268320604;121.732.307.155.646;128.835.230.790.523;0.920921459840193
510000;125;3;1;2;0;0;0;14806;22.238;476.388.889;80.555.556;0.366556606904973;205.688.941.057.198;0.610617688038955;158.175.080.421.123;0.34758265084968;0.415207454061608
185000;64;1;1;1;1;0;1;12916;8.66;338.006.231;26.438.569;17.290.896.980.744;437.097.195.719.244;0.925691754824002;391.319.672.506.726;144.855.393.138.109;228.794.338.342.656
156050;128;2;1;1;1;0;0;8342;22.36;131.078.224;57.082.452;0.237046360131375;0.813410113888921;137.043.939.739.607;178.983.405.287.141;154.893.109.361.316;0.812863862170754
355000;90;3;1;1;1;0;1;17823;31.968;519.512.195;24.449.878;0.740192378008047;0.883133127958895;0.993756829433933;0.731905580477662;0.747458759433116;0.758500677505772
390000;90;3;1;1;1;0;1;17823;31.968;519.512.195;24.449.878;0.732079862553719;0.856672887099603;0.98009322257109;0.70550727861143;0.745316334050891;0.747715206336071
68000;77;3;0;1;1;0;1;5389;18.365;54.166.667;120.833.333;0.489837274859132;13.057.366.203.514;146.941.155.463.886;109.593.242.675.448;0.222259448392456;153.791.249.346.131
280000;95;3;1;2;1;0;1;16022;38.337;424.581.006;19.553.073;0.0959611919569252;0.519524659573307;0.299802531290568;156.810.194.768.114;0.330475525542306;0.618172401611453
361500;145;3;1;2;1;0;0;12916;8.66;338.006.231;26.438.569;152.949.988.365.033;400.232.027.312.978;0.618508136946414;363.864.532.226.519;102.825.775.211.379;168.124.370.714.018
290000;93;3;1;2;1;0;1;15949;31.633;470.304.976;101.286.174;0.319842464988025;203.701.995.174.342;0.354395086187602;230.731.164.707.437;0.359543981748248;152.145.405.955.055
441500;148;4;1;2;1;0;1;14582;29.88;40;4.75;0.201118175396832;0.78063148883952;103.264.583.716.995;186.172.090.880.115;0.228716562389307;0.641340579216617
357500;124;3;1;2;1;0;1;14582;29.88;40;4.75;0.201118175396832;0.78063148883952;103.264.583.716.995;186.172.090.880.115;0.228716562389307;0.641340579216617
