"precio","superficie","habitaciones","ascensor","banos","aire_acond","balcon","terraza","renta","longevidad","educ_sup","presion_mig","hospital","metro","universidad","autobus_interurbano","autobus_local","policia_local","espacio_verdes_sev","lon","lat"
112000,78,3,0,1,0,0,0,"10395",45.286,16.5876777,0.7109005,0.425662004255142,4.66308095257775,2.96460882799759,0.768811074520358,0.839493926882626,2.68087245533262,0.415952699719588,-5.9632525,37.424133
99000,70,2,0,1,0,0,0,"9399",32.146,13.0813953,6.122449,0.277197717565891,0.556989128711035,0.961928444987835,1.75360825085285,1.29741148995672,0.556073590949018,0.309133813068238,-5.9464774,37.374863
132000,90,2,0,1,0,0,0,"9373",32.681,14.9466192,3.9145907,0.0808588551763508,4.44268350673051,4.40604450716038,0.24058497603341,1.00745498480681,1.60962812482676,0.329350902999309,-5.9287834,37.412685
78000,78,2,0,1,0,0,0,"8745",22.71,19.9637024,6.884058,0.609817982622196,1.55870617736433,0.659294762464588,2.03830038443899,0.544554509910031,0.875466070161795,0,-5.9727073,37.365147
149000,121,3,0,1,0,0,0,"8602",33.588,12.2009569,3.8277512,0.0785647231503366,4.14763464439472,2.27882361697713,0.867939900264154,0.361175836865028,2.01702158872728,0.412686713312454,-5.969204,37.420177
115000,84,2,0,1,0,0,0,"6197",10.911,9.1836735,2.8061224,0.208114976873078,4.51722111950232,4.48717250549037,0.0724396080369536,0.973537473180602,1.77285615239787,0.413376432646528,-5.929795,37.414047
193000,96,2,0,1,0,0,0,"13677",40.208,32.4723247,3.5055351,0.465246142059884,2.42620283494352,1.4909297583336,2.6931900131999,0.605822997363204,1.14497340883783,0.197070670208316,-5.9660563,37.403923
97000,96,2,0,1,0,0,0,"10621",27.757,26.4069264,5.8441558,0.218050700243113,3.77567219411424,1.76115912982484,3.6876631632622,0.126199259561018,0.129028035718988,0.333754909472918,-5.967096,37.325584
48400,55,3,0,1,0,0,0,"11645",34.531,31.1864407,4.7457627,0.779350085362392,2.20863533516356,2.10699209841424,2.80317731256146,0.172488633226784,0.799295431418517,0.466699461897499,-5.9585886,37.4011
29900,53,3,0,1,0,0,0,"5033",17.962,4.1584158,26.9306931,0.408393808398996,0.254845985394642,0.449873928879859,2.26197487452947,0.473154195577259,0.332603577009745,0.115638890053903,-5.958071,37.382954
